Brand Name,URL,Price,Rating
"Samsung Galaxy S9 (Midnight Black, 64 GB)",/samsung-galaxy-s9-midnight-black-64-gb/p/itmf33a69rpszgzn?pid=MOBF2VWVBGCT5QQN&lid=LSTMOBF2VWVBGCT5QQN0ZJFUP&marketplace=FLIPKART&srno=s_1_1&otracker=search&fm=organic&iid=52548cc4-ca23-42a2-a4fa-a38b9c0a3929.MOBF2VWVBGCT5QQN.SEARCH&ssid=h8so353h680000001586149780116&qH=3910b1e0ccab19bc,"₹28,499",4.4
"Samsung Galaxy S9 Plus (Midnight Black, 64 GB)",/samsung-galaxy-s9-plus-midnight-black-64-gb/p/itmf33a6baxzmzfq?pid=MOBF2VWVGZCF39YY&lid=LSTMOBF2VWVGZCF39YYKQAGBC&marketplace=FLIPKART&srno=s_1_2&otracker=search&fm=organic&iid=52548cc4-ca23-42a2-a4fa-a38b9c0a3929.MOBF2VWVGZCF39YY.SEARCH&ssid=h8so353h680000001586149780116&qH=3910b1e0ccab19bc,"₹31,699",4.5
"Samsung Galaxy A50 (Blue, 64 GB)",/samsung-galaxy-a50-blue-64-gb/p/itmfe4csw5hucdnn?pid=MOBFE4CSF3G2TTUV&lid=LSTMOBFE4CSF3G2TTUV1HA5LO&marketplace=FLIPKART&srno=s_1_3&otracker=search&fm=organic&iid=52548cc4-ca23-42a2-a4fa-a38b9c0a3929.MOBFE4CSF3G2TTUV.SEARCH&ssid=h8so353h680000001586149780116&qH=3910b1e0ccab19bc,"₹15,899",4.3
Samsung Guru 1200,/samsung-guru-1200/p/itmeb6wxfgbxphcw?pid=MOBDADMTTV7HXGTF&lid=LSTMOBDADMTTV7HXGTF7JASZW&marketplace=FLIPKART&srno=s_1_4&otracker=search&fm=organic&iid=52548cc4-ca23-42a2-a4fa-a38b9c0a3929.MOBDADMTTV7HXGTF.SEARCH&ssid=h8so353h680000001586149780116&qH=3910b1e0ccab19bc,"₹1,260",4.3
"Samsung Galaxy S9 (Coral Blue, 64 GB)",/samsung-galaxy-s9-coral-blue-64-gb/p/itmf33a6jmt4z79m?pid=MOBF2VWVGM32SD5P&lid=LSTMOBF2VWVGM32SD5PKHPK3L&marketplace=FLIPKART&srno=s_1_5&otracker=search&fm=organic&iid=52548cc4-ca23-42a2-a4fa-a38b9c0a3929.MOBF2VWVGM32SD5P.SEARCH&ssid=h8so353h680000001586149780116&qH=3910b1e0ccab19bc,"₹28,499",4.4
"Samsung Galaxy M30 (Gradation Blue, 64 GB)",/samsung-galaxy-m30-gradation-blue-64-gb/p/itmfehwz8b6bsvae?pid=MOBFEHSMHMYUMWYK&lid=LSTMOBFEHSMHMYUMWYKPXB4N5&marketplace=FLIPKART&srno=s_1_6&otracker=search&fm=organic&iid=52548cc4-ca23-42a2-a4fa-a38b9c0a3929.MOBFEHSMHMYUMWYK.SEARCH&ssid=h8so353h680000001586149780116&qH=3910b1e0ccab19bc,"₹12,279",4.4
"Samsung Galaxy M30 (Blue, 32 GB)",/samsung-galaxy-m30-blue-32-gb/p/itmb245858b3fe3b?pid=MOBFH6HYT5Z5ZPER&lid=LSTMOBFH6HYT5Z5ZPERPDQASH&marketplace=FLIPKART&srno=s_1_7&otracker=search&fm=organic&iid=52548cc4-ca23-42a2-a4fa-a38b9c0a3929.MOBFH6HYT5Z5ZPER.SEARCH&ssid=h8so353h680000001586149780116&qH=3910b1e0ccab19bc,"₹10,999",4.4
"Samsung Galaxy A10s (Black, 32 GB)",/samsung-galaxy-a10s-black-32-gb/p/itm0d0ef983bbc47?pid=MOBFJPAQUNZRTVUX&lid=LSTMOBFJPAQUNZRTVUXHH6RLG&marketplace=FLIPKART&srno=s_1_8&otracker=search&fm=organic&iid=52548cc4-ca23-42a2-a4fa-a38b9c0a3929.MOBFJPAQUNZRTVUX.SEARCH&ssid=h8so353h680000001586149780116&qH=3910b1e0ccab19bc,"₹10,099",4.3
"Samsung Galaxy M30s (Black, 64 GB)",/samsung-galaxy-m30s-black-64-gb/p/itm918b2523e0fb7?pid=MOBFK9AVSTDSDMW6&lid=LSTMOBFK9AVSTDSDMW6GYOQZW&marketplace=FLIPKART&srno=s_1_9&otracker=search&fm=organic&iid=52548cc4-ca23-42a2-a4fa-a38b9c0a3929.MOBFK9AVSTDSDMW6.SEARCH&ssid=h8so353h680000001586149780116&qH=3910b1e0ccab19bc,"₹14,900",4.4
"Samsung Galaxy M30s (Black, 64 GB)",/samsung-galaxy-m30s-black-64-gb/p/itm918b2523e0fb7?pid=MOBFKZ8NRZ6XZGFE&lid=LSTMOBFKZ8NRZ6XZGFEUAZR3F&marketplace=FLIPKART&srno=s_1_10&otracker=search&fm=organic&iid=52548cc4-ca23-42a2-a4fa-a38b9c0a3929.MOBFKZ8NRZ6XZGFE.SEARCH&ssid=h8so353h680000001586149780116&qH=3910b1e0ccab19bc,"₹14,073",4.4
Samsung Guru Music 2,/samsung-guru-music-2/p/itme9tgwmffh64cy?pid=MOBE9TGVE7ZBRAEN&lid=LSTMOBE9TGVE7ZBRAENISQH05&marketplace=FLIPKART&srno=s_1_11&otracker=search&fm=organic&iid=52548cc4-ca23-42a2-a4fa-a38b9c0a3929.MOBE9TGVE7ZBRAEN.SEARCH&ssid=h8so353h680000001586149780116&qH=3910b1e0ccab19bc,"₹1,760",4.3
Samsung Guru 1200,/samsung-guru-1200/p/itme6gz6jczu5ygz?pid=MOBDADKKAEHYYA3G&lid=LSTMOBDADKKAEHYYA3GC8GIJZ&marketplace=FLIPKART&srno=s_1_12&otracker=search&fm=organic&iid=52548cc4-ca23-42a2-a4fa-a38b9c0a3929.MOBDADKKAEHYYA3G.SEARCH&ssid=h8so353h680000001586149780116&qH=3910b1e0ccab19bc,"₹1,343",4.3
"Samsung Galaxy A50 (Black, 64 GB)",/samsung-galaxy-a50-black-64-gb/p/itmfe4csknzx2kcs?pid=MOBFE4CS3FDSGEZR&lid=LSTMOBFE4CS3FDSGEZRX2POEW&marketplace=FLIPKART&srno=s_1_13&otracker=search&fm=organic&iid=52548cc4-ca23-42a2-a4fa-a38b9c0a3929.MOBFE4CS3FDSGEZR.SEARCH&ssid=h8so353h680000001586149780116&qH=3910b1e0ccab19bc,"₹15,899",4.3
Samsung Metro 313 Dual Sim,/samsung-metro-313-dual-sim/p/itmeu7kpzwu74ezu?pid=MOBEU7KPT3FFWJDJ&lid=LSTMOBEU7KPT3FFWJDJPHNFWC&marketplace=FLIPKART&srno=s_1_14&otracker=search&fm=organic&iid=52548cc4-ca23-42a2-a4fa-a38b9c0a3929.MOBEU7KPT3FFWJDJ.SEARCH&ssid=h8so353h680000001586149780116&qH=3910b1e0ccab19bc,"₹2,120",4.2
Samsung Guru FM Plus,/samsung-guru-fm-plus/p/itmf54p4tddnyf6a?pid=MOBF54P4Y285GZ4Y&lid=LSTMOBF54P4Y285GZ4YLX4JD4&marketplace=FLIPKART&srno=s_1_15&otracker=search&fm=organic&iid=52548cc4-ca23-42a2-a4fa-a38b9c0a3929.MOBF54P4Y285GZ4Y.SEARCH&ssid=h8so353h680000001586149780116&qH=3910b1e0ccab19bc,"₹1,500",4.2
"Samsung Galaxy A10s (Black, 32 GB)",/samsung-galaxy-a10s-black-32-gb/p/itmcbb3ea1c1d722?pid=MOBFJPAQ53GGFVZD&lid=LSTMOBFJPAQ53GGFVZDXYZ4NU&marketplace=FLIPKART&srno=s_1_16&otracker=search&fm=organic&iid=52548cc4-ca23-42a2-a4fa-a38b9c0a3929.MOBFJPAQ53GGFVZD.SEARCH&ssid=h8so353h680000001586149780116&qH=3910b1e0ccab19bc,"₹9,480",4.4
Samsung Guru FM Plus SM-B110E/D,/samsung-guru-fm-plus-sm-b110e-d/p/itmew8srgqg73y6p?pid=MOBEA9SJWSGMFVPP&lid=LSTMOBEA9SJWSGMFVPP8XIDUP&marketplace=FLIPKART&srno=s_1_17&otracker=search&fm=organic&iid=52548cc4-ca23-42a2-a4fa-a38b9c0a3929.MOBEA9SJWSGMFVPP.SEARCH&ssid=h8so353h680000001586149780116&qH=3910b1e0ccab19bc,"₹1,500",4.3
"Samsung Galaxy A51 (Prism Crush Black, 128 GB)",/samsung-galaxy-a51-prism-crush-black-128-gb/p/itmbe0525217e39f?pid=MOBFZ4AJRFZTYZHJ&lid=LSTMOBFZ4AJRFZTYZHJ5MZTZS&marketplace=FLIPKART&srno=s_1_18&otracker=search&fm=organic&iid=52548cc4-ca23-42a2-a4fa-a38b9c0a3929.MOBFZ4AJRFZTYZHJ.SEARCH&ssid=h8so353h680000001586149780116&qH=3910b1e0ccab19bc,"₹25,299",4.4
Samsung Metro 313 Dual Sim,/samsung-metro-313-dual-sim/p/itmebdgsvgcbg4n6?pid=MOBEBDGSFTRFYGUP&lid=LSTMOBEBDGSFTRFYGUPM5NH3Z&marketplace=FLIPKART&srno=s_1_19&otracker=search&fm=organic&iid=52548cc4-ca23-42a2-a4fa-a38b9c0a3929.MOBEBDGSFTRFYGUP.SEARCH&ssid=h8so353h680000001586149780116&qH=3910b1e0ccab19bc,"₹2,294",4.3
Samsung Guru FM Plus SM-B110E/D,/samsung-guru-fm-plus-sm-b110e-d/p/itmf4w45bqfdfnef?pid=MOBE996SKVGGH94Q&lid=LSTMOBE996SKVGGH94QA0OBOX&marketplace=FLIPKART&srno=s_1_20&otracker=search&fm=organic&iid=52548cc4-ca23-42a2-a4fa-a38b9c0a3929.MOBE996SKVGGH94Q.SEARCH&ssid=h8so353h680000001586149780116&qH=3910b1e0ccab19bc,"₹1,500",4.3
"Samsung Galaxy A50s (Prism Crush White, 128 GB)",/samsung-galaxy-a50s-prism-crush-white-128-gb/p/itmed3b8b449ec8d?pid=MOBFK4REFQTCSVNA&lid=LSTMOBFK4REFQTCSVNARKTPWM&marketplace=FLIPKART&srno=s_1_21&otracker=search&fm=organic&iid=52548cc4-ca23-42a2-a4fa-a38b9c0a3929.MOBFK4REFQTCSVNA.SEARCH&ssid=h8so353h680000001586149780116&qH=3910b1e0ccab19bc,"₹21,099",4.3
"Samsung Galaxy A50 (White, 64 GB)",/samsung-galaxy-a50-white-64-gb/p/itmfe4csgmyzcyup?pid=MOBFE4CSQ4MDCBWF&lid=LSTMOBFE4CSQ4MDCBWFFQVYRT&marketplace=FLIPKART&srno=s_1_22&otracker=search&fm=organic&iid=52548cc4-ca23-42a2-a4fa-a38b9c0a3929.MOBFE4CSQ4MDCBWF.SEARCH&ssid=h8so353h680000001586149780116&qH=3910b1e0ccab19bc,"₹15,899",4.3
